u_number,first_name,last_name,email,street_address,pin_number,gpa,uldp,class_level,registration_status,major,hours
59176891,Gnni,Cropper,gcropperm@usf.edu,3188 Eliot Street,6147,1.02,TRUE,junior,FALSE,cys,32
26386628,Leontyne,Fleischer,lfleischern@usf.edu,213 Summer Ridge Point,4175,2.86,TRUE,sophmore,FALSE,it,73
31164772,Carlita,Thicking,cthickingo@usf.edu,99762 Bartelt Court,5472,1.61,FALSE,junior,TRUE,cpe,128
30157658,Tony,Sommerville,tsommervillep@usf.edu,75516 Summit Park,9648,0.61,FALSE,freshmen,TRUE,cs,101
39368410,Meridith,Spellicy,mspellicyq@usf.edu,841 Heffernan Plaza,8018,0.42,FALSE,freshmen,FALSE,other,35
32495314,Ruprecht,Sallter,rsallterr@usf.edu,495 Tony Center,6105,3.09,FALSE,sophmore,TRUE,cs,43
90045414,Ailbert,Pitkins,apitkinss@usf.edu,3 Cody Lane,9470,3.81,TRUE,sophmore,TRUE,it,110
29590032,Jocko,Leere,jleeret@usf.edu,8091 Vernon Circle,2068,3.74,TRUE,junior,FALSE,cpe,77
78236081,Crystal,Goscomb,cgoscombu@usf.edu,64942 Green Place,8640,1.58,TRUE,senior,TRUE,other,111
11792383,Lane,Crebbin,lcrebbinv@usf.edu,687 Victoria Hill,1370,0.97,FALSE,freshmen,FALSE,cys,41
88080483,Flynn,Titmus,ftitmusw@usf.edu,5281 Algoma Road,6412,3.56,TRUE,senior,TRUE,cs,77
60747155,Nydia,Silson,nsilsonx@usf.edu,143 Oak Valley Avenue,3317,2.41,TRUE,junior,TRUE,cs,71
39734724,Spencer,Fawckner,sfawcknery@usf.edu,25756 Grover Lane,8573,2.9,TRUE,sophmore,FALSE,cpe,18
18214503,Edan,Mateus,emateusz@usf.edu,3092 Hintze Street,3668,3.98,FALSE,sophmore,FALSE,cs,81
88063579,Ker,Cottesford,kcottesford10@usf.edu,0843 Loomis Drive,2201,0.14,TRUE,sophmore,FALSE,it,117
74337957,Maryrose,Atcock,matcock11@usf.edu,3142 Eagle Crest Trail,4743,2.04,TRUE,junior,FALSE,other,45
77873698,Augie,Colman,acolman12@usf.edu,289 Prairie Rose Pass,9185,0.8,FALSE,junior,TRUE,cys,66
12298605,Carmine,Inchcomb,cinchcomb13@usf.edu,4281 Cottonwood Parkway,2092,3.54,TRUE,sophmore,FALSE,other,79
72421723,Trenton,Mityakov,tmityakov14@usf.edu,7183 Fairview Terrace,2107,1.7,FALSE,sophmore,TRUE,it,20
56446440,Mikel,McErlaine,mmcerlaine15@usf.edu,0087 Texas Alley,9751,2.96,FALSE,freshmen,TRUE,other,37
37780006,Packston,Esp,pesp16@usf.edu,4856 Claremont Place,6615,3.68,FALSE,junior,TRUE,cs,29
22866852,Joaquin,Prium,jprium17@usf.edu,68 Lindbergh Circle,3583,2.58,TRUE,freshmen,TRUE,cpe,122
20311058,Pamella,Bawle,pbawle18@usf.edu,5 Jay Crossing,3537,2.75,TRUE,senior,FALSE,it,35
63038207,Poppy,Graysmark,pgraysmark19@usf.edu,1395 Quincy Court,7314,2.88,FALSE,senior,FALSE,cpe,68
96670896,Merrie,Maycey,mmaycey1a@usf.edu,07 Summer Ridge Trail,4238,3.71,FALSE,senior,FALSE,it,73
44754568,Solly,Grayshon,sgrayshon1b@usf.edu,3 Walton Circle,2961,2.77,FALSE,junior,TRUE,cs,38
58594458,Meridel,Witnall,mwitnall1c@usf.edu,560 Valley Edge Park,1650,0.11,TRUE,senior,FALSE,cs,109
31059109,Leigha,Dobbins,ldobbins1d@usf.edu,20 Little Fleur Pass,5355,2.34,FALSE,sophmore,FALSE,it,64
